AUD,-1300.0000000000236
BRE,-3475.0000000000277
BTP,-508.2219999999562
BZ,3720.000000000006
CAD,-1825.000000000032
CC,-1040.0
CGB,-825.238000000046
CHF,624.9999999999588
CT,-1939.9999999999916
DA,2979.9999999999754
DAX,-366.45075
ESTX50,778.094
EUR,-2.773958840407431e-11
GBL,-1437.352999999991
GBM,-1514.5650000002058
GBP,1437.4999999999943
GC,1279.9999999999955
GE,1425.000000002896
GF,-474.999999999981
HE,3089.9999999999923
HG,-537.5000000000019
HO,2646.0000000000164
IBEX,-282.38348000000457
JPY,-1956.2499999999834
KC,-225.00000000000023
LE,-1050.0000000000223
MXP,170.0000000000174
NG,769.9999999999907
NKD,475.0
NQ,-1170.0
NZD,-59.999999999993406
OJ,-120.0000000000102
PA,4000.0000000000114
PL,-189.99999999999773
QC,-837.4999999999966
QM,-402.49999999999636
QO,-775.0
R,-1665.339000000017
RB,-1835.3999999999844
SB,4031.9999999999945
SJB,2049.015699999872
XINA50,-95.0
XT,251.76761520059932
ZAR,50.00000000000837
ZB,-687.5
ZC,3562.5000000000246
ZF,-2124.9910000002787
ZN,-3125.0
ZO,-3424.999999999996
ZS,-587.4999999999809
ZW,2849.999999999988
